generation,best_fitness,mean_fitness,train_accuracy,val_accuracy,elapsed_s
485,0.901712,0.868071,0.949904,0.982005,2.202
486,0.901712,0.860558,0.949904,0.982005,2.208
487,0.901712,0.867312,0.949904,0.982005,2.213
488,0.901712,0.868374,0.949904,0.982005,2.218
489,0.901712,0.871915,0.949904,0.982005,2.224
490,0.902142,0.867714,0.942839,0.966581,2.229
491,0.902142,0.867142,0.942839,0.966581,2.233
492,0.902142,0.866181,0.942839,0.966581,2.236
493,0.902142,0.862313,0.942839,0.966581,2.239
494,0.902142,0.864069,0.942839,0.966581,2.243
495,0.902519,0.871318,0.952473,0.969152,2.246
496,0.902748,0.872645,0.956969,0.982005,2.25
497,0.902873,0.866339,0.960822,0.982005,2.255
498,0.902873,0.870079,0.960822,0.982005,2.261
499,0.902873,0.866712,0.960822,0.982005,2.266
500,0.902873,0.865744,0.960822,0.982005,2.272
501,0.902873,0.868314,0.960822,0.982005,2.278
502,0.902873,0.869945,0.960822,0.982005,2.284
503,0.902873,0.869094,0.960822,0.982005,2.29
504,0.902873,0.864286,0.960822,0.982005,2.295
505,0.902873,0.862002,0.960822,0.982005,2.301
506,0.903139,0.871411,0.949261,0.951157,2.307
507,0.903139,0.866805,0.949261,0.951157,2.311
508,0.903139,0.866912,0.949261,0.951157,2.315
509,0.903139,0.86822,0.949261,0.951157,2.318
510,0.903139,0.862054,0.949261,0.951157,2.322
511,0.903139,0.875249,0.949261,0.951157,2.325
512,0.903139,0.861597,0.949261,0.951157,2.329
513,0.903139,0.869998,0.949261,0.951157,2.332
514,0.903139,0.862156,0.949261,0.951157,2.335
515,0.903139,0.865796,0.949261,0.951157,2.339
516,0.903139,0.869687,0.949261,0.951157,2.343
517,0.903139,0.865228,0.949261,0.951157,2.346
518,0.903417,0.861611,0.953115,0.969152,2.35
519,0.903417,0.871107,0.953115,0.969152,2.354
520,0.903417,0.864533,0.953115,0.969152,2.358
521,0.903417,0.864229,0.953115,0.969152,2.361
522,0.903767,0.86626,0.951188,0.982005,2.365
523,0.903767,0.873512,0.951188,0.982005,2.37
524,0.903767,0.869482,0.951188,0.982005,2.377
525,0.903767,0.863553,0.951188,0.982005,2.383
526,0.903767,0.868149,0.951188,0.982005,2.389
527,0.903767,0.865871,0.951188,0.982005,2.395
528,0.903767,0.873788,0.951188,0.982005,2.403
529,0.903767,0.865503,0.951188,0.982005,2.409
530,0.903767,0.871611,0.951188,0.982005,2.416
